prompt,label
"What is 2+2?",weak
"Summarize this email in one sentence.",weak
"Rewrite this sentence to sound more polite.",weak
"Give me three title ideas for a blog post about coffee.",weak
"Translate 'good morning' to Spanish.",weak
"List five healthy snacks.",weak
"Fix the grammar in this paragraph.",weak
"Write a short birthday message for my friend.",weak
"What does HTTP stand for?",weak
"Explain photosynthesis in two sentences.",weak
"Generate a simple to-do list template.",weak
"What are the colors of the rainbow?",weak
"Write a short product description for a notebook.",weak
"Convert this sentence to bullet points.",weak
"Give me three synonyms for 'important'.",weak
"Explain what a variable is in programming.",weak
"Create a catchy caption for a travel photo.",weak
"Draft a polite reminder email for a meeting.",weak
"Suggest a name for a bakery.",weak
"What is the capital of Japan?",weak
"Turn these notes into a short paragraph.",weak
"Write a one-line slogan for a fitness app.",weak
"Explain the difference between a cat and a dog.",weak
"How do I boil an egg?",weak
"List basic laptop maintenance tips.",weak
"Write a simple thank-you note.",weak
"Create a short agenda for a 15-minute standup.",weak
"What is a database?",weak
"Give me beginner tips for public speaking.",weak
"Make this sentence more professional.",weak
"Write a fun icebreaker question.",weak
"Explain what an API is in plain English.",weak
"What is the opposite of success?",weak
"Create three tweet ideas about productivity.",weak
"Suggest a subject line for a sales email.",weak
"How do I center a div in CSS?",weak
"Write a basic apology message to a customer.",weak
"List three benefits of drinking water.",weak
"Summarize this paragraph for a sixth grader.",weak
"Generate a basic study schedule for exams.",weak
"What is machine learning?",weak
"Write a short welcome message for a website.",weak
"How do I rename a file in Windows?",weak
"Give me a simple definition of inflation.",weak
"Turn this feedback into kinder wording.",weak
"List common interview questions.",weak
"Draft a short follow-up email after an interview.",weak
"What does CPU mean?",weak
"Explain cloud storage simply.",weak
"Write a one-paragraph introduction about teamwork.",weak
"Suggest a logo tagline for a local cafe.",weak
"List easy weekend activities.",weak
"Help me word a meeting cancellation text.",weak
"What is the purpose of a router?",weak
"Give me a short outline for a presentation on recycling.",weak
"Rewrite this sentence to sound more confident.",weak
"Create a short FAQ answer about shipping times.",weak
"What is version control?",weak
"List five simple side hustle ideas.",weak
"Write a gentle payment reminder message.",weak
"Summarize the plot of Cinderella.",weak
"Suggest names for a pet adoption campaign.",weak
"How do I clear browser cache?",weak
"Make this paragraph easier to read.",weak
"Give me a simple sales pitch for a water bottle.",weak
"What is the difference between RAM and storage?",weak
"Write a quick note asking for feedback.",weak
"List basic cybersecurity tips for employees.",weak
"Draft a simple LinkedIn bio for a student.",weak
"Explain a spreadsheet in plain language.",weak
"Compare tea and coffee briefly.",weak
"I need a Python function that reads a CSV of support tickets, cleans missing subject lines, filters to open tickets, groups by priority, and returns a summary dictionary.",moderate
"Help me design a SQL query to join orders and customers, filter for the last 30 days, and compute average order value per city.",moderate
"Write a professional project update email that explains a one-week delay, names the dependency risk, and proposes a revised timeline.",moderate
"I am building a small Flask app with login and registration. Show me a secure folder structure and explain where password hashing should happen.",moderate
"Summarize these meeting notes and turn them into action items grouped by owner and due date.",moderate
"Create a study plan for 8 weeks to prepare for data structures interviews, with weekly goals and practice suggestions.",moderate
"Refactor this JavaScript function to be more readable and handle null values safely.",moderate
"Suggest how to normalize this database schema for users, subscriptions, and invoices without overcomplicating the design.",moderate
"Write a polite but firm response to a client asking for out-of-scope work for free.",moderate
"Explain why this Docker build might be slow and give three concrete optimization ideas.",moderate
"Draft an API spec for an endpoint that creates support tickets and returns validation errors consistently.",moderate
"Compare FastAPI and Flask for a small internal tool that may later need async integrations.",moderate
"Help me debug why my pandas merge is duplicating rows after joining on customer_id.",moderate
"Turn this rough feature request into clear acceptance criteria and edge cases.",moderate
"Create a pricing comparison table for three SaaS tiers and recommend which one suits a team of 20.",moderate
"Write unit tests for a function that calculates shipping cost with discounts and region-specific taxes.",moderate
"Show me how to call the Ollama HTTP API from Python and parse the JSON response.",moderate
"I need a Bash script that archives logs older than 7 days and writes a short status summary.",moderate
"Explain this stack trace and give the most likely root cause plus the first two fixes to try.",moderate
"Build a regex that validates invoice IDs like INV-2026-0042 and explain each part.",moderate
"Generate interview questions for a junior backend engineer focused on Python, APIs, and SQL.",moderate
"Write a product requirements summary for an admin dashboard that tracks tickets, SLAs, and agent workload.",moderate
"Help me design a retry strategy for calling an external API that occasionally returns 429.",moderate
"Create sample JSON payloads for a webhook that reports payment success, failure, and refund events.",moderate
"Suggest a clean architecture for a prompt router that classifies requests before sending them to different models.",moderate
"Review this resume bullet list and rewrite it to emphasize impact and ownership.",moderate
"Draft a troubleshooting runbook for a service that has high latency but low CPU usage.",moderate
"Explain how to estimate token cost for API model calls in a rough but practical way.",moderate
"Write a SQL migration to add a nullable status column with a sensible default for new rows.",moderate
"Help me break this broad feature into a one-week MVP and a later phase-two backlog.",moderate
"Create a customer survey with ten questions to validate interest in an AI writing assistant.",moderate
"Show me how to store prompt, chosen model, latency, and cost in SQLite from a FastAPI app.",moderate
"Why might logistic regression work well as a first text classifier for route selection?",moderate
"Write a Python class that wraps local model calls and returns response text plus latency.",moderate
"Turn this bug report into a reproducible issue template with expected and actual behavior sections.",moderate
