id,prompt,label
1,What is artificial intelligence?,weak
2,Define machine learning,weak
3,What is cloud computing?,weak
4,Define database,weak
5,What is an algorithm?,weak
6,Define operating system,weak
7,What is HTTP?,weak
8,Define API,weak
9,What is blockchain?,weak
10,Define cybersecurity,weak
11,What is data science?,weak
12,Define neural network,weak
13,What is Python?,weak
14,Define Java,weak
15,What is HTML?,weak
16,Define CSS,weak
17,What is RAM?,weak
18,Define CPU,weak
19,What is internet?,weak
20,Define DNS,weak
21,List 5 fruits,weak
22,List 5 programming languages,weak
23,List 5 countries,weak
24,List 5 cities in India,weak
25,List 5 animals,weak
26,List 5 car brands,weak
27,List 5 sports,weak
28,List 5 colors,weak
29,List 5 databases,weak
30,List 5 cloud providers,weak
31,Translate 'hello' to Hindi,weak
32,Translate 'thank you' to Spanish,weak
33,Translate 'good morning' to French,weak
34,Translate 'good night' to German,weak
35,Translate 'welcome' to Arabic,weak
36,Translate 'sorry' to Italian,weak
37,Translate 'please' to Korean,weak
38,Translate 'yes' to Russian,weak
39,Translate 'no' to Japanese,weak
40,Translate 'good evening' to Urdu,weak
41,What is artificial intelligence?,weak
42,Define machine learning,weak
43,What is cloud computing?,weak
44,Define database,weak
45,What is an algorithm?,weak
46,Define operating system,weak
47,What is HTTP?,weak
48,Define API,weak
49,What is blockchain?,weak
50,Define cybersecurity,weak
51,What is data science?,weak
52,Define neural network,weak
53,What is Python?,weak
54,Define Java,weak
55,What is HTML?,weak
56,Define CSS,weak
57,What is RAM?,weak
58,Define CPU,weak
59,What is internet?,weak
60,Define DNS,weak
61,List 5 fruits,weak
62,List 5 programming languages,weak
63,List 5 countries,weak
64,List 5 cities in India,weak
65,List 5 animals,weak
66,List 5 car brands,weak
67,List 5 sports,weak
68,List 5 colors,weak
69,List 5 databases,weak
70,List 5 cloud providers,weak
71,Translate 'hello' to Hindi,weak
72,Translate 'thank you' to Spanish,weak
73,Translate 'good morning' to French,weak
74,Translate 'good night' to German,weak
75,Translate 'welcome' to Arabic,weak
76,Translate 'sorry' to Italian,weak
77,Translate 'please' to Korean,weak
78,Translate 'yes' to Russian,weak
79,Translate 'no' to Japanese,weak
80,Translate 'good evening' to Urdu,weak
81,What is artificial intelligence?,weak
82,Define machine learning,weak
83,What is cloud computing?,weak
84,Define database,weak
85,What is an algorithm?,weak
86,Define operating system,weak
87,What is HTTP?,weak
88,Define API,weak
89,What is blockchain?,weak
